,action,episode,reward,reward_jam,reward_waiting,step,time,total_reward
0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",0,"[0.0, 0.0, 0.0, 0.0, -1.1, -1.2, 0.0, -2.1, 0.0]","[0, 0, 0, 0, -1, -1, 0, -2, 0]","[-0.0, -0.0, -0.0, -0.0, -1.0, -2.0, -0.0, -1.0, -0.0]",1.0,5,-4.4
1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",0,"[0.0, -12.2, 0.0, -2.1, -7.4, -1.7000000000000002, -1.1, -4.9, 0.0]","[0, -10, 0, -2, -6, -1, -1, -4, 0]","[-0.0, -22.0, -0.0, -1.0, -14.0, -7.0, -1.0, -9.0, -0.0]",2.0,10,-29.4
2,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",0,"[-6.0, -16.3, -1.4, -8.2, -13.4, -4.5, -2.9, -6.4, -2.3]","[-5, -11, -1, -7, -9, -3, -2, -4, -2]","[-10.0, -53.0, -4.0, -12.0, -44.0, -15.0, -9.0, -24.0, -3.0]",3.0,15,-61.39999999999999
3,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",0,"[-16.8, -23.5, -5.6, -16.1, -24.3, -10.6, -5.5, -10.2, -11.9]","[-13, -14, -4, -12, -15, -7, -4, -6, -10]","[-38.0, -95.0, -16.0, -41.0, -93.0, -36.0, -15.0, -42.0, -19.0]",4.0,20,-124.5
4,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",0,"[-20.8, -33.1, -11.7, -23.1, -34.0, -20.9, -8.2, -12.2, -16.3]","[-13, -18, -8, -15, -18, -13, -5, -6, -11]","[-78.0, -151.0, -37.0, -81.0, -160.0, -79.0, -32.0, -62.0, -53.0]",5.0,25,-180.3
5,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",1,"[0.0, -1.0, 0.0, -1.1, -1.2, -1.3, 0.0, 0.0, 0.0]","[0, -1, 0, -1, -1, -1, 0, 0, 0]","[-0.0, -0.0, -0.0, -1.0, -2.0, -3.0, -0.0, -0.0, -0.0]",1.0,5,-4.6
6,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",1,"[0.0, -7.3, -3.6, -9.8, -4.2, -4.0, -1.2, 0.0, -2.4]","[0, -6, -3, -8, -3, -3, -1, 0, -2]","[-0.0, -13.0, -6.0, -18.0, -12.0, -10.0, -2.0, -0.0, -4.0]",2.0,10,-32.5
7,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",1,"[-6.8, -11.0, -6.300000000000001, -16.5, -11.8, -7.800000000000001, -3.1, -2.2, -7.1]","[-6, -8, -4, -12, -8, -5, -2, -2, -6]","[-8.0, -30.0, -23.0, -45.0, -38.0, -28.0, -11.0, -2.0, -11.0]",3.0,15,-72.6
8,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",1,"[-14.4, -19.0, -11.9, -31.200000000000003, -16.2, -14.5, -5.5, -2.7, -13.6]","[-11, -13, -7, -22, -9, -9, -4, -2, -10]","[-34.0, -60.0, -49.0, -92.0, -72.0, -55.0, -15.0, -7.0, -36.0]",4.0,20,-129.0
9,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",1,"[-22.6, -29.5, -17.9, -43.400000000000006, -23.200000000000003, -22.0, -7.0, -3.2, -17.9]","[-15, -19, -9, -27, -12, -12, -4, -2, -11]","[-76.0, -105.0, -89.0, -164.0, -112.0, -100.0, -30.0, -12.0, -69.0]",5.0,25,-186.70000000000002
